#format table ## [Custom WaveView] saved 20:37:00 Tue Aug 04 2026
TIME ,v(clk) ,v(out_n) ,v(out_p) 
 2.62020E-009 , 5.85150E-001 , 1.05120E-001 , 1.72180E+000 
 2.63000E-009 , 1.86517E-014 , 2.23540E-001 , 1.76600E+000 
 2.63150E-009 , 0.00000E+000 , 2.59990E-001 , 1.78270E+000 
 2.63260E-009 , 0.00000E+000 , 2.84930E-001 , 1.79370E+000 
 2.63590E-009 , 0.00000E+000 , 3.66410E-001 , 1.82480E+000 
 2.64630E-009 , 0.00000E+000 , 6.28780E-001 , 1.89180E+000 
 2.65710E-009 , 0.00000E+000 , 8.92200E-001 , 1.92900E+000 
 2.66800E-009 , 0.00000E+000 , 1.11690E+000 , 1.94710E+000 
 2.68020E-009 , 0.00000E+000 , 1.30550E+000 , 1.94930E+000 
 2.70110E-009 , 0.00000E+000 , 1.53740E+000 , 1.91900E+000 
 2.71620E-009 , 0.00000E+000 , 1.64220E+000 , 1.88640E+000 
 2.73560E-009 , 0.00000E+000 , 1.71900E+000 , 1.85320E+000 
 2.75400E-009 , 0.00000E+000 , 1.75690E+000 , 1.83200E+000 
 2.77860E-009 , 0.00000E+000 , 1.78160E+000 , 1.81540E+000 
 2.80000E-009 , 0.00000E+000 , 1.79110E+000 , 1.80790E+000 
 2.80370E-009 , 2.25000E-001 , 1.81950E+000 , 1.83480E+000 
 2.80530E-009 , 3.18220E-001 , 1.83100E+000 , 1.84560E+000 
 2.81030E-009 , 6.16540E-001 , 1.86440E+000 , 1.87720E+000 
 2.81990E-009 , 1.19650E+000 , 1.93070E+000 , 1.94130E+000 
 2.82710E-009 , 1.62830E+000 , 1.97950E+000 , 1.98940E+000 
 2.83000E-009 , 1.80000E+000 , 1.98480E+000 , 1.99400E+000 
 2.83110E-009 , 1.80000E+000 , 1.98230E+000 , 1.99140E+000 
 2.83170E-009 , 1.80000E+000 , 1.98100E+000 , 1.98990E+000 
 2.83370E-009 , 1.80000E+000 , 1.97630E+000 , 1.98480E+000 
 2.83950E-009 , 1.80000E+000 , 1.96180E+000 , 1.96890E+000 
 2.84670E-009 , 1.80000E+000 , 1.93600E+000 , 1.94110E+000 
 2.85650E-009 , 1.80000E+000 , 1.84030E+000 , 1.86600E+000 
 2.86750E-009 , 1.80000E+000 , 1.67260E+000 , 1.75260E+000 
 2.88080E-009 , 1.80000E+000 , 1.44140E+000 , 1.58650E+000 
 2.89420E-009 , 1.80000E+000 , 1.22140E+000 , 1.42120E+000 
 2.91030E-009 , 1.80000E+000 , 1.00300E+000 , 1.28980E+000 
 2.92560E-009 , 1.80000E+000 , 8.10540E-001 , 1.27820E+000 
 2.94300E-009 , 1.80000E+000 , 6.04450E-001 , 1.39740E+000 
 2.97620E-009 , 1.80000E+000 , 3.30530E-001 , 1.62650E+000 
 2.98800E-009 , 1.80000E+000 , 2.56240E-001 , 1.67840E+000 
 3.00000E-009 , 1.80000E+000 , 1.88070E-001 , 1.71370E+000 
 3.00300E-009 , 1.62280E+000 , 1.63990E-001 , 1.71250E+000 
 3.00420E-009 , 1.55100E+000 , 1.54290E-001 , 1.71200E+000 
 3.00800E-009 , 1.32100E+000 , 1.24470E-001 , 1.71140E+000 
 3.02020E-009 , 5.85160E-001 , 1.05120E-001 , 1.72180E+000 
 3.03000E-009 , 4.35207E-014 , 2.23540E-001 , 1.76600E+000 
 3.03150E-009 ,-6.31089E-030 , 2.59990E-001 , 1.78270E+000 
 3.03260E-009 , 0.00000E+000 , 2.84930E-001 , 1.79370E+000 
 3.03590E-009 , 0.00000E+000 , 3.66410E-001 , 1.82480E+000 
 3.04630E-009 , 0.00000E+000 , 6.28780E-001 , 1.89180E+000 
 3.05710E-009 , 0.00000E+000 , 8.92200E-001 , 1.92900E+000 
 3.06800E-009 , 0.00000E+000 , 1.11690E+000 , 1.94710E+000 
 3.08020E-009 , 0.00000E+000 , 1.30550E+000 , 1.94930E+000 
 3.10110E-009 , 0.00000E+000 , 1.53740E+000 , 1.91900E+000 
 3.11620E-009 , 0.00000E+000 , 1.64220E+000 , 1.88640E+000 
 3.13560E-009 , 0.00000E+000 , 1.71900E+000 , 1.85320E+000 
 3.15400E-009 , 0.00000E+000 , 1.75690E+000 , 1.83200E+000 
 3.17860E-009 , 0.00000E+000 , 1.78160E+000 , 1.81540E+000 
 3.20000E-009 , 0.00000E+000 , 1.79110E+000 , 1.80790E+000 
 3.20370E-009 , 2.25000E-001 , 1.81950E+000 , 1.83480E+000 
 3.20530E-009 , 3.18220E-001 , 1.83100E+000 , 1.84560E+000 
 3.21030E-009 , 6.16540E-001 , 1.86440E+000 , 1.87720E+000 
 3.21990E-009 , 1.19650E+000 , 1.93070E+000 , 1.94130E+000 
